expID,plateID,rowID,colID,wellID,sample,stimulus,conc_final,stim_profile,gradient_duration,stim_description,stim_descrip_short,time_min,time_point,after_end,conc_at_time_mM,cumulative_exposure,staining,panel,protein_BV421,protein_PE,protein_AF647,protein_AF488
DS097,A,B,10,B10,22,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,7.5,7.5 min,no,0.62,2.34,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,11,B11,23,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,15,15 min,no,1.25,9.37,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,B,12,B12,24,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,22.5,22.5 min,no,1.87,21.09,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,1,C01,25,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,30,30 min,no,2.5,27.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,2,C02,26,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,37.5,37.5 min,no,3.12,58.59,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,3,C03,27,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,45,45 min,no,3.75,84.37,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,4,C04,28,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,52.5,52.5 min,no,4.37,114.84,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,5,C05,29,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,60,60 min,no,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,6,C06,30,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,75,75 min,yes,5,225,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,7,C07,31,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,8,C08,32,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,10,10 min,no,2.5,25,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,9,C09,33,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,20,20 min,no,2.5,50,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,10,C10,34,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,30,30 min,no,2.5,75,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,11,C11,35,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,45,45 min,no,2.5,112.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,C,12,C12,36,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,60,60 min,no,2.5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,1,D01,37,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,75,75 min,yes,2.5,187.5,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,2,D02,38,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,0,0 min,no,0,0,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,3,D03,39,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,10,10 min,no,5,50,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,4,D04,40,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,20,20 min,no,5,100,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,5,D05,41,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,30,30 min,no,5,150,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,6,D06,42,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,45,45 min,no,5,225,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,7,D07,43,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,60,60 min,no,5,300,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,D,8,D08,44,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,75,75 min,yes,5,375,yes,A,cCaspase 3 + cPARP,pSYK (Y525/Y526),pPLCy2 (Y759),pCD79a (Y182)
DS097,A,E,1,E01,10B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,35,35 min no stia,yes,5,100,no,B,No stain,No stain,No stain,No stain
DS097,A,E,2,E02,20B,H2O2,2.5 mM,gradient,60,60 min gradient (2.5 mM),60 min to 2.5 mM,75,75 min,yes,2.5,150,no,B,No stain,No stain,No stain,No stain
DS097,A,E,3,E03,30B,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,75,75 min,yes,5,225,no,B,No stain,No stain,No stain,No stain
DS097,A,E,4,E04,37B,H2O2,2.5 mM,step,NA,H2O2 step (2.5 mM),step to 2.5 mM,75,75 min,yes,2.5,187.5,no,B,No stain,No stain,No stain,No stain
DS097,A,E,5,E05,44B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,75,75 min,yes,5,375,no,B,No stain,No stain,No stain,No stain
