expID,plateID,rowID,colID,wellID,sample,stimulus,conc_final,stim_profile,gradient_duration,stim_description,stim_descrip_short,time_min,time_point,after_end,conc_at_time_mM,cumulative_exposure,staining,panel,protein_BV421,protein_PE,protein_AF647,protein_AF488
DS085,B,C,11,C11,29B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,22.5,22.5 min,no,5,112.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,2,D02,30B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,30,30 min,no,5,150,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,3,D03,31B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,37.5,37.5 min,no,5,187.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,4,D04,32B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,40,40 min,no,5,200,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,5,D05,33B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,45,45 min,no,5,225,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,6,D06,34B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,52.5,52.5 min,no,5,262.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,7,D07,35B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,60,60 min,no,5,300,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,8,D08,36B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,75,75 min,yes,5,375,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,9,D09,37B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,90,90 min,yes,5,450,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,D,10,D10,38B,H2O2,5 mM,step,NA,H2O2 step (5 mM),step to 5 mM,90,90 min nostain,yes,5,450,no,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,2,E02,39B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,0,0 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,3,E03,40B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,2.5,2.5 min,no,0.625,0.78,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,4,E04,41B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,5,5 min,no,1.25,3.13,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,5,E05,42B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,7.5,7.5 min,no,1.875,7.031,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,6,E06,43B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,10,10 min,no,2.5,12.5,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,7,E07,44B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,12.5,12.5 min,no,3.125,19.53,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,8,E08,45B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,15,15 min,no,3.75,28.12,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,9,E09,46B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,17.5,17.5 min,no,4.375,38.28,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,10,E10,47B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,20,20 min,no,5,50,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,E,11,E11,48B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,30,30 min,yes,5,100,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,F,2,F02,49B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,40,40 min,yes,5,150,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,F,3,F03,50B,H2O2,5 mM,gradient,20,20 min gradient (5 mM),20 min to 5 mM,40,40 min nostain,yes,5,150,no,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,G,2,G02,51B,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,0,0 min,no,0,0,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,G,3,G03,52B,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,7.5,7.5 min,no,0.625,2.34,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,G,4,G04,53B,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,15,15 min,no,1.25,9.375,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
DS085,B,G,5,G05,54B,H2O2,5 mM,gradient,60,60 min gradient (5 mM),60 min to 5 mM,22.5,22.5 min,no,1.875,21.09,yes,B,cCaspase 3 + cPARP,pAKT (S473),pBTK (Y223),pp38 (T180/Y182)
